Performance Test Time: 20260326_104219
Model Path: saved_models/best_actor_model.pth
Number of Episodes: 100
Win Rate: 0.620 (62/100)

Episode Results:
--------------------------------------------------
Episode 1: Result=Loss, Steps=100
Episode 2: Result=Win, Steps=3
Episode 3: Result=Loss, Steps=100
Episode 4: Result=Win, Steps=8
Episode 5: Result=Win, Steps=82
Episode 6: Result=Win, Steps=5
Episode 7: Result=Loss, Steps=6
Episode 8: Result=Win, Steps=10
Episode 9: Result=Win, Steps=4
Episode 10: Result=Loss, Steps=100
Episode 11: Result=Loss, Steps=100
Episode 12: Result=Win, Steps=19
Episode 13: Result=Win, Steps=7
Episode 14: Result=Loss, Steps=100
Episode 15: Result=Win, Steps=12
Episode 16: Result=Loss, Steps=100
Episode 17: Result=Win, Steps=7
Episode 18: Result=Win, Steps=20
Episode 19: Result=Loss, Steps=100
Episode 20: Result=Loss, Steps=100
Episode 21: Result=Win, Steps=13
Episode 22: Result=Loss, Steps=100
Episode 23: Result=Loss, Steps=100
Episode 24: Result=Win, Steps=10
Episode 25: Result=Win, Steps=7
Episode 26: Result=Win, Steps=15
Episode 27: Result=Win, Steps=8
Episode 28: Result=Win, Steps=11
Episode 29: Result=Loss, Steps=16
Episode 30: Result=Win, Steps=71
Episode 31: Result=Win, Steps=40
Episode 32: Result=Win, Steps=18
Episode 33: Result=Loss, Steps=8
Episode 34: Result=Win, Steps=9
Episode 35: Result=Win, Steps=15
Episode 36: Result=Loss, Steps=9
Episode 37: Result=Win, Steps=6
Episode 38: Result=Loss, Steps=100
Episode 39: Result=Loss, Steps=5
Episode 40: Result=Loss, Steps=100
Episode 41: Result=Win, Steps=34
Episode 42: Result=Win, Steps=8
Episode 43: Result=Loss, Steps=6
Episode 44: Result=Loss, Steps=100
Episode 45: Result=Loss, Steps=100
Episode 46: Result=Win, Steps=17
Episode 47: Result=Loss, Steps=8
Episode 48: Result=Win, Steps=12
Episode 49: Result=Win, Steps=11
Episode 50: Result=Loss, Steps=6
Episode 51: Result=Win, Steps=7
Episode 52: Result=Loss, Steps=100
Episode 53: Result=Win, Steps=12
Episode 54: Result=Loss, Steps=5
Episode 55: Result=Win, Steps=8
Episode 56: Result=Win, Steps=49
Episode 57: Result=Win, Steps=23
Episode 58: Result=Loss, Steps=100
Episode 59: Result=Loss, Steps=8
Episode 60: Result=Win, Steps=14
Episode 61: Result=Win, Steps=16
Episode 62: Result=Win, Steps=10
Episode 63: Result=Loss, Steps=5
Episode 64: Result=Loss, Steps=6
Episode 65: Result=Loss, Steps=12
Episode 66: Result=Win, Steps=7
Episode 67: Result=Win, Steps=11
Episode 68: Result=Win, Steps=6
Episode 69: Result=Loss, Steps=100
Episode 70: Result=Loss, Steps=100
Episode 71: Result=Win, Steps=10
Episode 72: Result=Win, Steps=9
Episode 73: Result=Loss, Steps=4
Episode 74: Result=Loss, Steps=100
Episode 75: Result=Win, Steps=25
Episode 76: Result=Win, Steps=11
Episode 77: Result=Win, Steps=7
Episode 78: Result=Win, Steps=73
Episode 79: Result=Win, Steps=9
Episode 80: Result=Win, Steps=15
Episode 81: Result=Win, Steps=6
Episode 82: Result=Win, Steps=5
Episode 83: Result=Win, Steps=5
Episode 84: Result=Loss, Steps=100
Episode 85: Result=Loss, Steps=8
Episode 86: Result=Win, Steps=13
Episode 87: Result=Win, Steps=33
Episode 88: Result=Win, Steps=8
Episode 89: Result=Win, Steps=6
Episode 90: Result=Win, Steps=8
Episode 91: Result=Win, Steps=9
Episode 92: Result=Loss, Steps=42
Episode 93: Result=Win, Steps=14
Episode 94: Result=Win, Steps=16
Episode 95: Result=Loss, Steps=11
Episode 96: Result=Loss, Steps=5
Episode 97: Result=Win, Steps=3
Episode 98: Result=Win, Steps=13
Episode 99: Result=Win, Steps=6
Episode 100: Result=Win, Steps=20
